Position,Age,Appereances,Goals,Club,Club League,Country,Peak MV,Apex MV,Current MV
MF,29,81,1,Shabab Al-Ahli,DK1,Iran,1500000,False,900000
MF,22,18,1,Zürich,C1,Curacao,1000000,False,700000
MF,31,16,1,Kilmarnock,SC1,DR Congo,3000000,False,150000
DF,21,3,0,Toluca,MEX1,Mexico,3000000,True,3000000
GK,32,30,0,Orlando City SC,MLS1,Canada,3500000,False,2000000
FW,29,30,3,Sparta Prague,TS1,Czech Republic,5000000,False,2700000
DF,22,25,0,Manchester City,GB1,Uzbekistan,35000000,True,35000000
FW,18,4,0,Real Madrid,ES1,Argentina,50000000,False,45000000
FW,23,30,6,Athletic Bilbao,ES1,Spain,70000000,False,50000000
FW,23,7,0,Borussia Dortmund,L1,Germany,40000000,True,40000000
MF,27,44,6,Liverpool,GB1,Argentina,100000000,False,80000000
DF,21,4,0,Al-Gharafa,Unkown,Qatar,375000,True,375000
FW,24,25,3,Kifisia,GR1,Curacao,800000,True,800000
DF,25,0,0,Lanús,ARG1,Paraguay,2000000,False,1500000
DF,21,18,1,West Ham United,GB1,Senegal,28000000,True,28000000
FW,30,20,6,Aston Villa,GB1,England,65000000,False,30000000
DF,29,2,0,Fulham,GB1,Morocco,35000000,False,10000000
MF,23,10,2,Al-Ahli,SA1,Saudi Arabia,375000,True,375000
MF,23,26,2,Brøndby,DK1,Bosnia-Herzegovina,6000000,False,4500000
MF,28,19,0,Auxerre,FR1,Ghana,7500000,False,3500000
MF,30,23,0,Udinese,IT1,Sweden,4000000,True,4000000
DF,22,0,0,Atlético Madrid,ES1,Spain,28000000,True,28000000
DF,33,70,3,Atlético Mineiro,BRA1,Paraguay,8000000,False,2000000
GK,25,0,0,Beşiktaş,TR1,Türkiye,10000000,False,4000000
FW,21,5,0,Sunderland,GB1,Morocco,25000000,True,25000000
DF,23,3,0,Anderlecht,BE1,Senegal,4000000,True,4000000
FW,29,36,9,Newcastle United,GB1,DR Congo,42000000,False,30000000
MF,32,29,0,Rayo Vallecano,ES1,Senegal,4000000,False,2000000
MF,25,45,2,Napoli,IT1,Scotland,20000000,True,20000000
DF,32,44,4,Lens,FR1,DR Congo,10000000,False,2500000
MF,33,32,7,Club Brugge,BE1,Belgium,16000000,False,6000000
MF,30,58,1,Braga,PO1,Austria,25000000,False,2000000
FW,18,2,0,Vancouver Whitecaps FC,MLS1,Tunisia,600000,True,600000
FW,23,18,3,Paris Saint-Germain,FR1,France,70000000,True,70000000
MF,23,5,1,Telstar,NL1,Curacao,750000,True,750000
FW,26,56,16,Liverpool,GB1,Sweden,140000000,False,100000000
DF,30,44,3,Crystal Palace,GB1,Colombia,27000000,True,27000000
FW,24,5,1,Middlesbrough,NL1,Curacao,6000000,False,3000000
MF,28,0,0,FC Cincinnati,MLS1,Czech Republic,4000000,True,4000000
GK,32,31,0,Fenerbahçe,IT1,Brazil,11000000,False,700000
FW,25,16,5,Tractor,Unkown,Iran,2200000,True,2200000
DF,31,58,5,Manchester City,GB1,Netherlands,42000000,False,15000000
DF,34,21,4,Maccabi Haifa,Unkown,Senegal,3000000,False,500000
GK,24,0,0,Charleroi,BE1,Cote d'Ivoire,1700000,False,800000
FW,28,75,36,Inter Milan,IT1,Argentina,110000000,False,85000000
